ticket,title,platform,team,feature_area,component,priority_signal
ANDROID-2056,Migrate ProfileApiService to kotlinx.serialization,Android,ANDROID,Profile,Profile,Low
ANDROID-1980,Predictive back on Team Create,Android,ANDROID,Navigation,Navigation,Low
ANDROID-1982,Migrate InviteCodeActivity to OnBackPressedCallback,Android,ANDROID,Community,Community,High
ANDROID-1985,Fix HelpCenterNavigationRouter.kt: replace direct onBackPressed() call,Android,ANDROID,Navigation,Navigation,Low
ANDROID-2059,Migrate auth service to KT Serialization,Android,ANDROID,Security / Authentication,Authentication,Low
STREN-551,Update Exercise Summary section with new stats,Android,STREN,Strength Trainer,Strength Trainer,High
STREN-479,Remove st-exercise-list-filtering feature flag,Android,STREN,Strength Trainer,Strength Trainer - Exercise Filtering,Low
STREN-828,CTA nav to strength trainer,Android,STREN,Strength Trainer,Strength Trainer,High
STREN-770,Contract changes to match tech plan,Android,STREN,Strength Trainer,Strength Trainer,High
STREN-834,selector button group text constraints added,Android,STREN,Strength Trainer,Strength Trainer,High
STREN-835,collapsable header top aligned,Android,STREN,Strength Trainer,Strength Trainer,High
STREN-769,Part 4: Add entry point for Exercise Details V2,iOS,STREN,Strength Trainer,Strength Trainer - Workout Details,High
STREN-769,Part 3 - Add UI for Exercise Details V2,iOS,STREN,Strength Trainer,Strength Trainer - Workout Details,High
STREN-769,Part 2 - Exercise Details v2: Add Domain layer,iOS,STREN,Strength Trainer,Strength Trainer - Workout Details,High
STREN-769,Part 1: Add API support for Exercise Details V2,iOS,STREN,Strength Trainer,Strength Trainer - Workout Details,High
STREN-829,Badge Icons + Exercise Details V2 FF,iOS,STREN,Strength Trainer,Strength Trainer - Workout Details,High
STREN-775,add codable nav for name your workout,iOS,STREN,Strength Trainer,Strength Trainer - Workout Naming,Low
STREN-756,Add new trend key for Total Volume Load + dynamic content support for Trends,iOS,STREN,Trends,Trends,Medium
STREN-540,Add MINI_ARCH_EXERCISE_RECORDS arch mini,iOS,STREN,Strength Trainer,Strength Trainer,High
STREN-540,Smartling translations,iOS,STREN,Localization,Translations,Low
FIT-156,Remove exercise-progression-visualization feature flag,Android,FIT,Exercise Progression,Exercise Progression,Low
FIT-1138,ExerciseDetailsV2: Repeated history and PR API calls triggered on scroll,Android,FIT,Strength Trainer,Strength Trainer - Workout Details,High
FIT-1131,Remove kt-serialization-widget,Android,FIT,Widgets,Widgets,Medium
FIT-1137,remove kt serialization activity service,Android,FIT,Activities,Activities,Low
FIT-1136,Remove kt-serialization-sleep-coach-users-api feature flag,Android,FIT,Coach,Coach - Sleep,Low
FIT-1130,remove kt serialization hrzones service,Android,FIT,Heart Rate Zones,HR Zones,Low
FIT-1126,Remove kt-serialization-start-activity feature flag,Android,FIT,Activities,Activities - Start Activity,Low
FIT-1133,Contract Layer - nav registration models API,iOS,FIT,Strength Trainer,Strength Trainer - Workout Details,High
FIT-950,Wire MultipleButtonContainer footer with CardIconButton navigation,iOS,FIT,Navigation,Navigation,Medium
FROGE-492,Fix widget layout spacing and positioning in chat view,Android,FROGE,Coach,Coach - UI,Medium
FROGE-378,Smartling translations,Android,FROGE,Localization,Translations,Low
FROGE-328,Smartling translations,Android,FROGE,Localization,Translations,Low
FROGE-473,Thread workout template source field,Android,FROGE,Strength Trainer,Strength Trainer - Workout From Library,Medium
